start	end	text
1600	2720	Prova, leggistri.
7680	10660	No, deve essere autentica la tua risposta, ma...
13180	15560	Qua non siamo in televisione, monastera.
16820	21520	Allora, tu non devi rispondere. Quindi, monastera ce ne dobbiamo andare da qui.
22100	25560	Che poi ti intervisterò in futuro a te.
25560	28080	Il futuro, il prossimo futuro.
28760	30940	Vieni, monastera.
32660	34060	Mettiamo ci seduti qui.
34560	40960	Ci seduti qui.
42680	43900	Allora, monastera.
44580	46800	Devo fare delle domande semplici.
47440	52060	Che racchiudono l'essenza di come...
52060	54060	Mi è ringhista da una mamma di un paese...
55520	58060	Piccolo come Vale Saccarda, intelligenza artificiale.
60540	61780	Allora, monastera.
63440	68420	Lei ha mai sentito parlare di chat, GPT o d'intelligenza artificiale?
68420	69400	Se sì, da dove?
69960	73480	Sì, a scuola. Non è così di aggiornamento.
74240	75960	A scuola.
76880	78860	E che cosa ha sentito parlare, monastera?
80560	86860	Eh, di questo nuovo sistema, che può aiutare...
88240	91020	Mastre, devi rispondere come se fosse che parlava niente, eh.
93240	95920	Perché ha sentito parlare? Poi mi rispondono pure in dialetto.
96840	100860	Ho sentito parlare di chat, GPT, dell'intelligenza artificiale.
101960	103640	Cos'è il giornamento che facciamo a scuola?
103660	105020	E che idea ti sei fatta?
106060	108020	Sono fatta un'idea che...
108860	114060	È sicuramente qualcosa di buono per i giovani.
114440	118840	Però per me è molto difficile approcciare queste cose.
119760	125860	Perché non abbiamo studiato noi...
127940	129820	Tutte queste cose telematiche.
129980	133920	Quindi per noi è molto difficile l'approccio a queste cose.
133920	136540	A me non noi giovani abbiamo studiato queste cose.
136840	139320	Ci siamo ritrovati dentro, secondo me.
139580	141120	Però già eravate avviati.
141560	143920	Decime con l'inforno con...
144500	147520	Tutte cose di computer, cose già da piccoli, hai capito?
147640	148220	Invece noi no.
150760	152360	Ricordiamo che monastera...
152360	154840	A scuola primaria avete fatto informatica, ovvio.
155500	155640	No.
155700	156560	Cioè informatica...
156560	157200	Cosa con il computer?
157380	158800	Stiamo avevo quella materia alla...
158800	160300	Come faceva...
160300	161460	Quando ci va fallo...
164900	165920	Quando ci va fa...
167120	169760	Non posso sentire di me l'intervista.
172720	176160	Però qui c'è la bella atmosfera, il fuoco, il caldo.
176320	177420	Vedete vi andare, posso provare.
177460	178500	Si tratta di 10 minuti.
178820	179780	Vattela a vedere Lilla TV.
180180	181260	Vattela a vedere Lilla TV.
181840	182980	Aspargati alla tavola, va.
183740	184780	Vattela a vedere Lilla TV.
184800	185780	10 minuti, eh.
186460	187700	Via, via.
